Country Name;Country Code;GDP PPP;Gini;Surf;toursim_export_share;visiting_tourists;outbound_tourists;population;Notes
Tonga;TON;6344.311474;33.5;720;50.76375863;94000;;104951;
Trinidad and Tobago;TTO;25306.61796;;5130;5.028323815;480000;;1519955;
Tunisia;TUN;11100.82029;32.8;155360;13.99231636;9429000;2781000;12049314;
Turkiye;TUR;28150.05895;41.9;769630;16.90815339;51747000;9651000;83481684;
Turkmenistan;TKM;14992.60396;;469930;;;78000;6158420;
Turks and Caicos Islands;TCA;25933.51121;;950;;1599000;;43080;
Tuvalu;TUV;4816.55321;39.1;30;43.44254018;3599.999905;2900.000095;10956;
Uganda;UGA;2250.014922;42.7;200520;22.68391954;1543000;568000;42949080;
Ukraine;UKR;12804.95508;25.6;579400;4.083013406;13710000;29346000;44386203;
United Arab Emirates;ARE;71782.15384;26;71020;9.5;25282000;18906000;9211657;manual tourism export share
United Kingdom;GBR;47362.26461;32.6;241930;6.4;40857000;93086000;66836327;manual tourism export share
United Kingdom;GGY;47362.26461;32.6;241930;;;;66450;Manual population
United Kingdom;JEY;47362.26461;32.6;241930;;;;103267;Manual population
United Kingdom;MSR;47362.26461;32.6;241930;;;;4992;Manual population
United Kingdom;AIA;47362.26461;32.6;241930;;;;15094;Manual population
United States;USA;62478.25395;39.7;9147420;9.403796912;165478000;170930093.8;328329953;
Uruguay;URY;23256.59787;40.8;175020;13.66557965;3480000;2199000;3428409;
Uzbekistan;UZB;7348.146883;;440555;9.880284328;6749000;8437000;33580350;
Vanuatu;VUT;3070.350828;32.3;12190;79.14988103;256000;36400.00153;304404;
Venezuela, RB;VEN;;;882050;1.903500209;429000;1079000;28971683;
Vietnam;VNM;10252.00462;36.8;313429;4.21257291;18009000;;95776716;
Virgin Islands (U.S.);VIR;;;350;;2074000;;106669;
West Bank and Gaza;PSE;6245.448697;33.7;6020;9.430331024;688000;;4685306;
Yemen, Rep.;YEM;;36.7;527970;12.36056299;398000;;31546691;
Zambia;ZMB;3372.35898;57.1;743390;;1266000;;18380477;
Zimbabwe;ZWE;2203.39681;50.3;386850;5.41111481;2294000;3275000;15354608;
